contig_112	0	230482	438697	0.525379
contig_112	1	83120	438697	0.18947
contig_112	2	55743	438697	0.127065
contig_112	3	24708	438697	0.0563213
contig_112	4	8052	438697	0.0183544
contig_112	5	9056	438697	0.0206429
contig_112	6	4587	438697	0.010456
contig_112	7	4595	438697	0.0104742
contig_112	8	4662	438697	0.0106269
contig_112	9	1738	438697	0.00396173
contig_112	10	2658	438697	0.00605885
contig_112	11	1519	438697	0.00346253
contig_112	12	107	438697	0.000243904
contig_112	13	1203	438697	0.00274221
contig_112	14	2707	438697	0.00617055
contig_112	15	1893	438697	0.00431505
contig_112	16	1389	438697	0.00316619
contig_112	17	478	438697	0.00108959
contig_116	0	678520	940270	0.721623
contig_116	1	159411	940270	0.169537
contig_116	2	46800	940270	0.0497729
contig_116	3	21127	940270	0.0224691
contig_116	4	11274	940270	0.0119902
contig_116	5	5463	940270	0.00581003
contig_116	6	3116	940270	0.00331394
contig_116	7	2704	940270	0.00287577
contig_116	8	3547	940270	0.00377232
contig_116	9	4051	940270	0.00430834
contig_116	10	1163	940270	0.00123688
contig_116	11	1179	940270	0.0012539
contig_116	12	896	940270	0.000952918
contig_116	13	570	940270	0.000606209
contig_116	14	386	940270	0.00041052
contig_116	46	1	940270	1.06352e-06
contig_116	47	62	940270	6.59385e-05
contig_119	0	1339132	1804001	0.742312
contig_119	1	320125	1804001	0.177453
contig_119	2	90864	1804001	0.050368
contig_119	3	31209	1804001	0.0172999
contig_119	4	5900	1804001	0.00327051
contig_119	5	3065	1804001	0.001699
contig_119	6	1092	1804001	0.000605321
contig_119	7	1461	1804001	0.000809867
contig_119	8	2553	1804001	0.00141519
contig_119	9	661	1804001	0.000366408
contig_119	10	1511	1804001	0.000837583
contig_119	11	2254	1804001	0.00124945
contig_119	12	1389	1804001	0.000769955
contig_119	13	535	1804001	0.000296563
contig_119	14	711	1804001	0.000394124
contig_119	15	954	1804001	0.000528825
contig_119	16	475	1804001	0.000263304
contig_119	17	96	1804001	5.3215e-05
contig_119	18	14	1804001	7.76053e-06
contig_151	0	71999	79017	0.911184
contig_151	1	6066	79017	0.0767683
contig_151	2	59	79017	0.000746675
contig_151	3	743	79017	0.00940304
contig_151	4	52	79017	0.000658086
contig_151	5	98	79017	0.00124024
contig_152	0	1265760	1848220	0.684854
contig_152	1	304513	1848220	0.16476
contig_152	2	86388	1848220	0.0467412
contig_152	3	40641	1848220	0.0219893
contig_152	4	30760	1848220	0.016643
contig_152	5	26338	1848220	0.0142505
